file_type,file_path,preview_detected,status,screenshot
PNG,D:\IT23864306_ITPM_Assignment1_Option2-main\sample.png,True,PASS,D:\IT23864306_ITPM_Assignment1_Option2-main\results\preview_pass.png
PNG,D:\IT23864306_ITPM_Assignment1_Option2-main\sample.png,True,PASS,D:\IT23864306_ITPM_Assignment1_Option2-main\results\preview_pass.png
